n.address,n.mf
"""0x47ce0c6ed5b0ce3d3a51fdb1c52dc66a7c3c2936""",100000
"""0x15331a998c2ac6d223c0b6e5eb861cc2fbc261ba""",14.0
"""0xd8eaabf6cd23830f428deacb66503dcc0cfb5ded""",10.5
"""0x2cbbe810fe3ea86c261395e05f5f3942b03e08e9""",10.0
"""0x7269d7d6f8a76a8faef77a77509826c1fa829c19""",10.0
"""0x2c0d7b1464f9328c230c7d31e1cdd7021bd22ceb""",9.767362596686464
"""0x321a1f4026c5d4c48e71c4f0f0d1b3f17e9d200b""",8.5
"""0xfec7ad87eefdac966ec958084fe28cce2c557d07""",7.0
"""0xaab7afa6361506676d4f96dae35abfcc9a825de7""",7.0
"""0xb86700436692333493a3aebff1ca7bd688a009bc""",6.081106050800001
"""0x037f91ab7d10359c707628219302ffb1f30e1a1c""",5.0
"""0xaaf9220bbc1498f7dbd8d1ea52bf7d46725ac9ec""",5.0
"""0x538eb0f1aee62dc84340a9a1144683f1552eb40c""",5.0
"""0xa1de6cd469037207f710dd17baa6b5f8739d3261""",5.0
"""0x8d4c534ffcc5019209f0ece9972eed339c57049a""",5.0
"""0x4bdbb75f1995f966dbf79e7433424a94845dba00""",4.981752305
"""0x9d216b80ee76e8f499701fb86ff83be01fe7efbe""",4.5
"""0x41553237d51aad5a5cf32d701170db5be048f06a""",4.0
"""0xccaf08555354630f81ff6102714ea27e713956fb""",4.0
"""0x433054c3e5d1ab5def23ebdc5ada39941c3e2c0e""",4.0
"""0xb1dd3d32b01c99e5d14f823b409d1bb99163b8d1""",3.0731365541636864
"""0x74de5d4fcbf63e00296fd95d33236b9794016631""",3.0731365541636864
"""0xcbe88b9a28b74ac60b3d28815a0aaa2af037b0bb""",3.0
"""0xdd280a3059332644055f34b720caeeeb42813be4""",3.0
"""0xbf4920ac17fd33ff454f27638691cfbdb1fa868e""",3.0
"""0x116277e14bb2becb282ce68eade7983144b8bc7e""",3.0
"""0xb29d2abaaec6a64b0eb22105ff93b701248acef8""",3.0
"""0x2647a18deb7153deb82a4488f66180f7688b97e2""",3.0
"""0x739be090cc6fc6f24077f30ef9e5cb087ef0739e""",3.0
"""0xaf7b67d7df88d462be4a403724a6cd63b5c31d2b""",3.0
"""0xe92af5194021cbf48de35e05430537794d16d592""",3.0
"""0x2501fcb3c56ffa82b5f1d8553d252262c8f2c650""",2.5
"""0x6208470aeeb823e5d3648e425f3d036444a3c7b0""",2.2830118311562586
"""0xf8adc1d947be5aa5152a08127e0641bc33d16b1d""",2.026922949057325
"""0x262200ce510b468de8c7a9645c94eb198f4b3409""",2.0
"""0x74da3959769ffbe7d97d6050af4379dc81036f94""",2.0
"""0xe1aa47f259e6947e140c1463a852481a64c9b4fd""",2.0
"""0xaa4a73327333183c485810c0c9edaaf633f9e23c""",2.0
"""0x977247c47190b970914077e64c0250ef97605d43""",2.0
"""0x98c57b73fd03a954b5f272db1d14b6c0e9a5304a""",2.0
"""0x0014971dba5b1481296e6abdd7234b0d8474bb8c""",2.0
"""0x426c75b9cf46611b709a6eb545088effa51acebf""",2.0
"""0x6a69eb6ac5d79acea64c92c6ff5d954f1609be0a""",2.0
"""0x5bc9845fa1fd30b4edcc468c0fe219c9030000d4""",2.0
